id,p4,q4,p9,q9,v4
1,-10.4551735,34.37144319,-3.517562183,3.352640771,0.979568541
2,27.36484135,-19.4653569,-7.342436598,42.2729602,0.986433492
3,8.015379157,-4.79128517,113.763669,51.49475044,1.02047297
4,-0.604905182,5.581102631,85.65852807,-47.72822681,1.02622042
5,-9.942724745,-19.71367796,37.31685518,-1.589495526,1.027762206
6,1.209172403,34.55669664,78.48567709,24.49812526,0.987988917
7,-0.135990671,-23.16690282,42.37256063,5.072469963,1.011612374
8,41.95787503,-20.54892009,124.4331747,-1.203940377,1.010095409
9,-7.734642827,-17.32058224,122.2003676,7.613896642,1.014644509
10,10.96423485,-7.243502822,-22.47456367,53.18687392,0.998960916
11,30.46479257,26.77653491,20.79254727,30.37481655,0.991335966
12,8.425211453,-16.08263809,37.26002253,15.50073184,1.013011386
13,34.15170924,3.761152194,1.241204275,-7.109217972,1.012060198
14,29.24377408,5.606096409,46.09307053,65.50702232,0.996140036
15,25.4116346,-5.814947283,-16.37941258,31.20045669,0.985928407
16,36.37544613,19.83252061,120.6481267,14.51093121,0.993661847
17,38.07930096,-13.51402538,11.18427212,4.65452025,0.998710986
18,-7.879795491,29.77070181,53.40274061,2.997838241,1.02121907
19,-8.359117455,-16.25564795,-19.36607078,17.46272386,1.007892518
20,-10.85867428,32.57113866,-31.34321847,70.76042571,0.970088271
21,16.81404895,-5.215718856,29.43404271,25.44300216,0.982763467
22,-3.975331194,22.25521781,35.47123234,2.180780952,1.010105281
23,10.99945484,27.6265017,74.29581951,-17.85110645,1.003356146
24,-11.56358632,-1.775218559,101.0587292,8.86102739,0.984089905
25,26.67203488,22.28485564,136.1751786,47.62464065,0.980656169
26,0.705136162,-10.41438073,19.55303327,-38.55668527,1.011550932
27,-4.614293964,-1.512689547,-19.62973501,29.26538533,0.997544438
28,32.31137938,-9.343533745,82.35692318,73.04356019,1.00102898
29,32.04959097,11.46996466,35.59801985,-19.71269754,0.988081616
30,38.04412738,2.324916602,98.33336301,-35.77998413,1.016990894
31,41.33671516,-3.290069317,18.01963433,-43.66094452,1.002015506
32,12.62683604,9.395339536,-17.45390026,50.63049935,0.980754246
33,38.5147082,17.92150631,137.2004636,72.86628085,0.989384041
34,37.65139237,33.06711131,46.10279575,15.58456616,0.999930477
35,31.43396515,-0.540293624,-29.81096937,-46.13551307,1.014603307
36,7.515265526,-23.08644207,76.81732111,10.13936704,1.010452884
37,19.09061896,-11.96360857,114.2808826,13.2734361,1.005373197
38,6.765320291,-2.487360871,-16.08599207,-28.09351518,1.013009022
39,10.65786395,-10.79555342,135.0486222,24.72255009,1.014479875
40,14.50728969,9.049788496,62.31197924,69.03895639,0.977025974
41,16.97260321,-10.45739877,85.43985252,11.10343991,1.014044675
42,13.92668747,-24.80959836,13.34101601,-5.356286823,1.026141992
43,41.7967078,-24.94586011,118.0679576,-4.183576696,1.035838679
44,5.13758679,-15.57245344,60.20046994,41.7953917,1.00796728
45,6.991098312,25.40179934,119.2940867,-47.71284108,1.020197938
46,27.34323024,8.469140315,106.223059,58.83124101,0.997598816
47,2.719718988,-24.21229857,-24.72032026,42.1773171,0.985041498
48,-8.824891865,36.03857021,87.63692429,38.60235639,0.99339273
49,27.88527485,18.09338317,72.61713947,5.261359508,0.994217895
50,8.347373277,-23.73089576,12.00498662,48.18621389,0.988812073
51,-6.126597269,23.27263792,21.62384921,18.99337962,0.965771596
52,6.350709437,11.74879107,11.01558488,-20.94321697,1.00763725
53,31.81027031,13.210873,98.52392237,-8.764920078,1.014765773
54,36.69994605,31.06420397,77.8482095,71.32684171,0.961640978
55,28.71142206,29.71740356,-19.45205771,-47.65883289,0.992504475
56,27.86657307,-17.50334916,1.579768801,-22.70549225,1.020891412
57,25.68203068,5.243487832,110.8219343,21.00039907,0.978919319
58,25.81328593,29.09536961,104.4962678,-43.96496019,1.020489023
59,39.44857935,-21.23367566,117.3600237,-5.463370556,1.012707061
60,15.13170761,8.053987855,125.1035494,9.122167375,1.008812026
61,39.04384173,-15.1193894,125.2708969,7.245364041,1.027988629
62,37.57019972,29.46642088,-5.185191854,50.0186652,0.955181676
63,14.91824581,-19.41596892,34.82158997,51.03743086,0.996581594
64,11.93421563,-20.97346024,0.240557191,11.09879356,1.010656971
65,38.69552177,22.49648751,59.49482241,11.96195616,0.981026442
66,18.41137537,33.79093622,70.3907818,14.41716421,1.005518197
67,27.49840937,36.60969205,43.56943183,-24.92207531,0.997183309
68,40.25214446,-24.30614637,13.43206236,31.5708545,0.998664702
69,15.24266483,-17.49866751,60.33735902,-43.72548589,1.024341652
70,16.85228416,8.658913004,-6.779128869,24.44764627,0.990772247
71,9.721755433,30.58773568,128.4856036,30.72082271,0.978752427
72,33.13222108,-11.96775729,86.09425655,-18.7060909,1.03054858
73,15.55076576,9.914624814,89.10380603,67.4629979,1.004216585
74,33.97494232,29.5808197,65.62840512,7.034099849,1.006995597
75,-6.854264709,-8.105499185,51.30854209,50.5875003,1.014738988
76,6.311828261,20.93486786,80.07967675,31.46633167,0.99347069
77,26.08012531,26.60067198,60.23493769,45.06597584,0.98899586
78,12.94528922,18.77708633,105.1192181,57.42023917,0.989242423
79,23.32205281,13.11925227,38.92198,56.86165648,0.986581008
80,24.48776605,-19.37000644,67.91714646,-18.91435297,1.008018614
81,32.82160074,0.970150811,129.8402819,-39.90074171,1.022685945
82,38.93837806,15.41091129,-28.47628193,47.53833798,0.948308561
83,40.92316136,-8.191327597,-37.10396474,-1.568485945,1.002452658
84,28.98646053,30.35056444,25.11658278,-15.81856505,1.000493679
85,39.38916568,-15.82773778,7.067665942,32.36864814,0.993703691
86,24.78136631,23.46147821,7.444218519,8.498045236,0.994282247
87,6.211223851,19.81759102,-33.70641565,33.93298387,0.974386541
88,-5.973733994,-15.26078902,74.81467544,3.683234401,1.022353639
89,12.89390526,36.70621488,81.62892366,12.82128595,0.988302597
90,21.8852309,-18.92450786,108.033362,53.75409562,1.002176309
91,10.01958063,-14.72048417,47.35123224,45.58001012,0.995752781
92,23.73852761,27.60540285,63.24403402,8.936587297,1.003083125
93,2.501181208,31.84443852,34.47362994,-40.11402358,1.007821142
94,34.63791417,6.815375402,46.69578324,30.94900638,0.997026916
95,-7.844544415,10.32803954,92.74868218,-29.01832841,1.020002904
96,16.99621581,28.34294347,131.6083844,55.30070439,0.958456314
97,19.98789531,17.62975773,101.8638118,19.32739082,0.984313806
98,33.86759301,3.087724518,86.53701078,10.4064816,1.014550988
99,20.08901473,-20.25267456,114.8291867,59.31821732,0.997377809
100,38.30401856,16.19492314,-22.13234953,72.08500191,0.992829197
101,30.58938387,25.42835468,39.29281101,51.53531297,0.986617293
102,21.75680396,7.181966365,39.27637615,66.3204501,0.980130987
103,11.48561884,34.33753686,4.222632402,-7.731069154,0.965634067
104,10.99197303,-5.751905988,-13.4134251,17.53166727,1.015531905
105,40.00644005,17.27130257,125.4546514,43.74573109,0.97900719
106,-2.366028602,4.786374658,72.04594473,56.01230591,0.99878114
107,10.69838364,6.453987563,15.42526502,-37.2967991,1.011878134
108,33.07789332,-2.956614519,106.1809462,42.09400528,0.997955267
109,-9.5387451,-19.55016815,-33.27391157,33.69267388,1.009295707
110,14.95569546,-19.52469307,-4.884350286,11.96701875,1.030089726
111,19.28844932,-1.217049252,121.6412021,-36.66873393,1.007899198
112,-10.42587568,-8.166174606,84.98146722,-37.54940113,1.010267819
113,-8.784788698,17.48636274,81.27096832,-23.0156502,1.00454594
114,6.12410556,-23.94291306,126.2585732,2.326495542,1.010615788
115,15.5609006,-13.27408865,-36.88244019,-38.76780507,1.00476531
116,7.848337765,-21.03691967,-33.98335613,74.34660765,0.967764181
117,24.70453556,-4.261527883,-18.7041622,34.97122687,1.014942486
118,27.91353839,-24.23934383,-12.10613956,-37.67629847,1.029532839
119,42.02566689,-5.045679544,122.9197759,2.352892213,1.028964086
120,35.43528534,16.49286493,5.149552242,32.89620382,0.976671392
121,-9.343031976,34.09384941,-32.23174064,-34.81383306,0.9724626
122,-11.29277023,-3.240055367,70.15290208,-24.61203869,1.017648259
123,-2.485053929,-19.79703676,82.76608609,-32.16773072,1.045138088
124,2.012046837,-3.256226049,67.77329339,20.93672725,1.004514656
125,28.46308541,-14.17961686,93.32436815,-0.558739206,1.017663348
126,-3.801052065,36.30757335,87.08291194,16.17532968,1.009077476
127,39.01336402,37.38591464,21.35824,-21.48080462,1.001114542
128,4.244503824,8.840513158,95.4802347,-32.36753116,1.012821359
129,27.76002391,32.49873897,30.10715307,15.61604192,1.001405969
130,29.02947542,20.28812935,91.03267798,40.42728194,0.978990114
131,18.06492298,0.232204222,-3.945308304,35.65005354,0.99166904
132,-2.916077848,-2.705891111,-27.32591822,1.535893875,1.017493544
133,30.06744798,-9.048480846,22.70119009,23.05629034,0.986753917
134,-2.953357599,-3.978293843,70.28152567,-32.06100573,1.031430445
135,14.65719615,-19.56241998,44.44339119,34.23277223,1.020558987
136,31.45749685,-20.86173941,62.33984946,72.11071843,0.997016689
137,23.41258314,-10.67759287,10.640376,55.52378082,0.996536154
138,39.44677251,20.3322598,85.3668368,22.96388737,0.976030787
139,3.998014637,-24.01301376,72.53282853,33.82153418,1.003275505
140,41.35248397,7.957806036,-10.93301459,-1.394437527,1.003647932
141,-8.551957649,4.971024299,11.94387891,-11.0630731,1.011188102
142,9.301746966,13.39639019,92.17440178,1.224733944,1.013550847
143,10.74845579,32.52620535,-14.39844235,21.5084205,0.97022034
144,1.274607044,9.460857967,107.9497132,61.62485583,0.989514949
145,32.87558687,24.47738676,117.8349417,2.045236287,1.001135192
146,-11.95414775,19.47050478,-36.57377119,46.66741973,0.974828414
147,41.43583776,36.99943482,113.2025133,65.0410913,0.968490489
148,16.70240908,-14.60994551,-29.97337398,-18.50157485,1.026009243
149,6.949526424,20.8836411,85.39256376,-30.24083416,1.018289746
150,43.99494485,-22.0637377,11.30530881,-19.10416796,1.002284219
151,13.42322542,-21.49663338,62.90833926,55.8457851,1.016905983
152,35.25749698,28.99233987,-18.80020729,58.31209496,0.961916507
153,17.10275588,15.43464418,30.41856748,69.94198094,0.965961315
154,-2.635464794,-3.089029016,15.79491798,-8.923524302,1.018865459
155,3.687033416,-14.18329959,32.50796981,37.07774212,1.006198441
156,6.311088923,14.4954348,91.64130218,41.1573079,1.01374207
157,-7.035444913,19.96547547,0.471012812,-44.82123365,1.026016996
